experimento,hiperparametro,valor_hiperparametro,metrica,estimacion_original,SE_bootstrap,sesgo_bootstrap,|sesgo|/SE
minimo_muestras_hoja,min_samples_leaf,10,gap_accuracy,0.002996633171619693,0.0005948034723225034,3.6045093433504163e-05,0.06060000506177351
minimo_muestras_hoja,min_samples_leaf,20,accuracy_test,0.9889894419306184,0.0004932433355514617,-2.8420599008871505e-05,0.057619833782642745
minimo_muestras_hoja,min_samples_leaf,20,error_test,0.011010558069381563,0.0004951471315684122,2.551174315880249e-05,0.051523560437464935
minimo_muestras_hoja,min_samples_leaf,20,f1_test,0.976854506332583,0.0011063578987008636,1.990258348127938e-05,0.01798928132085459
minimo_muestras_hoja,min_samples_leaf,20,recall_test,0.9644325290437892,0.0017360622912736855,6.255585343062364e-07,0.00036033184837353215
minimo_muestras_hoja,min_samples_leaf,20,auc_test,0.9964989883581257,0.0003540081630083922,6.344798608060032e-06,0.017922746622963098
minimo_muestras_hoja,min_samples_leaf,20,gap_accuracy,0.0022867802299951965,0.0005910211534772218,-1.0524359879372867e-05,0.017807078168782464
minimo_muestras_hoja,min_samples_leaf,5,accuracy_test,0.9922215039862099,0.00043506494877523067,-1.8315018314951637e-05,0.04209720494953915
minimo_muestras_hoja,min_samples_leaf,5,error_test,0.007778496013790104,0.0004454069230863429,-1.8336565395389234e-05,0.04116811940939378
minimo_muestras_hoja,min_samples_leaf,5,f1_test,0.9836730997744464,0.0008972822409388114,2.851221992639097e-05,0.03177619997979578
minimo_muestras_hoja,min_samples_leaf,5,recall_test,0.973100983020554,0.0017258720094094464,4.432529043796318e-05,0.025682837543167684
minimo_muestras_hoja,min_samples_leaf,5,auc_test,0.9973215468301126,0.00029930388105386236,6.635807402899374e-06,0.0221708030632092
minimo_muestras_hoja,min_samples_leaf,5,gap_accuracy,0.003804741277628939,0.000470107824801825,1.6966841331231015e-05,0.03609138252141075
profundidad_maxima,max_depth,10,accuracy_test,0.993708252531782,0.00036147009769084117,-1.600948071533992e-05,0.04428991725072799
profundidad_maxima,max_depth,10,error_test,0.006291747468218034,0.0003465929278528181,4.093945270419383e-07,0.0011811970012723086
profundidad_maxima,max_depth,10,f1_test,0.9868398304348868,0.0007446312198386667,-4.1986541684524425e-06,0.005638568537808731
profundidad_maxima,max_depth,10,recall_test,0.9792672028596964,0.0013197667183552548,-4.700625558540228e-05,0.035617094242218296
profundidad_maxima,max_depth,10,auc_test,0.9976016703889606,0.00029323985838361765,-1.8379683126568125e-06,0.006267798391350927
profundidad_maxima,max_depth,10,gap_accuracy,0.005607892001994963,0.00038571909168734047,1.3510497287140717e-05,0.035026778757666924
profundidad_maxima,max_depth,2,accuracy_test,0.9758457229045464,0.0008543367643314402,-1.8358112475747035e-05,0.021488145239907996
profundidad_maxima,max_depth,2,error_test,0.02415427709545359,0.0008449766125541494,3.027364792070747e-05,0.035827793895026196
profundidad_maxima,max_depth,2,f1_test,0.9478325416872111,0.001951640444173408,-1.913385494267672e-06,0.000980398566744225
profundidad_maxima,max_depth,2,recall_test,0.9116175156389631,0.0031912839644285766,-3.681858802495608e-05,0.011537233425590418
profundidad_maxima,max_depth,2,auc_test,0.9933088149098809,0.0005043499356891925,6.222549032930402e-06,0.012337761130924522
profundidad_maxima,max_depth,2,gap_accuracy,0.0015223576795031204,0.0008668174221563541,9.39392967312571e-06,0.010837264495395963
profundidad_maxima,max_depth,5,accuracy_test,0.9914889032536092,0.0004774455858254715,4.71881060115642e-06,0.009883452148788668
